partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags
name:重庆茂正玻璃制品有限公司,xlsx_supplier_cooperat_company,name:重庆茂正玻璃制品有限公司,,重庆茂正玻璃制品有限公司,company,0,1,other,,,,,,lilinxu,2022-05-24 10:34,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆行千里工程机械有限公司,xlsx_supplier_cooperat_company,name:重庆行千里工程机械有限公司,,重庆行千里工程机械有限公司,company,0,1,other,,,,,,yangdesheng,2021-08-03 11:55,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆贝比特商贸有限公司,xlsx_supplier_cooperat_company,name:重庆贝比特商贸有限公司,,重庆贝比特商贸有限公司,company,0,1,other,,,,,,lilinxu,2021-12-20 10:12,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆辉王建材有限公司,xlsx_supplier_cooperat_company,name:重庆辉王建材有限公司,,重庆辉王建材有限公司,company,0,1,other,,,,,,yangdesheng,2021-03-22 15:15,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆辰视环境设计工程有限公司,xlsx_supplier_cooperat_company,name:重庆辰视环境设计工程有限公司,,重庆辰视环境设计工程有限公司,company,0,1,other,,,,,,lilinxu,2021-12-13 09:04,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆达岗新型建材有限公司,xlsx_supplier_cooperat_company,name:重庆达岗新型建材有限公司,,重庆达岗新型建材有限公司,company,0,1,other,,,,,,lilinxu,2023-01-16 11:00,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:重庆金仕高环保科技有限公司,xlsx_supplier_cooperat_company,name:重庆金仕高环保科技有限公司,,重庆金仕高环保科技有限公司,company,0,1,other,,,,,,lilinxu,2022-03-28 14:15,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆金山洋生管道有限公司,xlsx_supplier_cooperat_company,name:重庆金山洋生管道有限公司,,重庆金山洋生管道有限公司,company,0,1,other,,,,,,laiyuxuan,2021-08-04 16:32,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆金盏鸿秀建材有限公司,xlsx_supplier_cooperat_company,name:重庆金盏鸿秀建材有限公司,,重庆金盏鸿秀建材有限公司,company,0,1,other,,,,,,luyan,2021-10-11 17:52,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆鑫垒建筑工程有限责任公司,xlsx_supplier_cooperat_company,name:重庆鑫垒建筑工程有限责任公司,,重庆鑫垒建筑工程有限责任公司,company,0,1,other,,,,,,lilinxu,2023-01-16 17:35,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:重庆铸合欣工程担保有限公司,xlsx_supplier_cooperat_company,name:重庆铸合欣工程担保有限公司,,重庆铸合欣工程担保有限公司,company,0,1,other,,,,,,lilinxu,2022-05-06 11:08,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆鼎掘机械设备租赁有限公司,xlsx_supplier_cooperat_company,name:重庆鼎掘机械设备租赁有限公司,,重庆鼎掘机械设备租赁有限公司,company,0,1,other,,,,,,lilinxu,2023-01-18 11:27,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:重庆龙邦木制品有限责任公司,xlsx_supplier_cooperat_company,name:重庆龙邦木制品有限责任公司,,重庆龙邦木制品有限责任公司,company,0,1,other,,,,,,lilinxu,2021-10-14 18:49,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
